Index,Term,Tf,IDF,TF_IDF
0,red,3,0,0
1,cherry,1,0.17609,0.17609
2,fruit,10,0,0
3,comes,2,0.17609,0.35218
4,laced,1,0.47712,0.47712
5,with,22,0,0
6,light,1,0.47712,0.47712
7,tannins,4,0,0
8,giving,2,0.17609,0.35218
9,this,21,0,0
10,bright,3,0.17609,0.52827
11,wine,13,0,0
12,an,4,0,0
13,open,2,0.47712,0.95424
14,juicy,3,0,0
15,character,2,0.17609,0.35218
16,merlot,1,0.17609,0.17609
17,and,37,0,0
18,nero,1,0.47712,0.47712
19,davola,1,0.47712,0.47712
20,form,1,0.47712,0.47712
21,the,32,0,0
22,base,1,0.47712,0.47712
23,for,1,0.17609,0.17609
24,easy,1,0.17609,0.17609
25,that,5,0,0
26,would,2,0.47712,0.95424
27,pair,4,0.47712,1.9085
28,fettuccine,1,0.47712,0.47712
29,meat,2,0.47712,0.95424
30,sauce,2,0.47712,0.95424
31,or,3,0.47712,1.4314
32,pork,1,0.47712,0.47712
33,roast,1,0.47712,0.47712
34,quality,2,0.47712,0.95424
35,of,29,0,0
36,is,15,0,0
37,clean,3,0.47712,1.4314
38,sharp,1,0.47712,0.47712
39,part,2,0.47712,0.95424
40,extended,1,0.47712,0.47712
41,calanìca,1,0.47712,0.47712
42,series,1,0.47712,0.47712
43,grilloviognier,1,0.47712,0.47712
44,blend,3,0.17609,0.52827
45,shows,4,0.47712,1.9085
46,aromas,5,0,0
47,honeysuckle,1,0.47712,0.47712
48,jasmine,1,0.47712,0.47712
49,backed,2,0.47712,0.95424
50,by,4,0.17609,0.70437
51,touches,2,0.47712,0.95424
52,cut,1,0.17609,0.17609
53,grass,2,0.47712,0.95424
54,wild,1,0.47712,0.47712
55,sage,1,0.17609,0.17609
56,in,2,0,0
57,mouth,1,0.17609,0.17609
58,it,5,0,0
59,ripe,4,0,0
60,yellowfruit,1,0.47712,0.47712
61,flavors,8,0,0
62,rustic,1,0.17609,0.17609
63,dry,2,0,0
64,has,4,0,0
65,berries,1,0.17609,0.17609
66,currants,1,0.47712,0.47712
67,licorice,1,0.47712,0.47712
68,spices,1,0.47712,0.47712
69,made,2,0.47712,0.95424
70,from,2,0,0
71,cabernet,3,0.17609,0.52827
72,franc,1,0.17609,0.17609
73,sauvignon,4,0.17609,0.70437
74,a,22,0,0
75,tart,1,0,0
76,green,2,0,0
77,gooseberry,2,0.47712,0.95424
78,flavor,5,0,0
79,similar,1,0.47712,0.47712
80,to,3,0,0
81,new,2,0.47712,0.95424
82,zealand,2,0.47712,0.95424
83,blanc,3,0.47712,1.4314
84,other,1,0.17609,0.17609
85,notes,6,0,0
86,include,1,0,0
87,tropical,2,0.17609,0.35218
88,orange,2,0,0
89,honey,3,0.47712,1.4314
90,unoaked,1,0.47712,0.47712
91,splash,1,0.47712,0.47712
92,muscat,1,0.47712,0.47712
93,commendable,1,0.47712,0.47712
94,dryness,1,0.47712,0.47712
95,acidity,3,0,0
96,as,1,0,0
97,many,1,0.47712,0.47712
98,erath,1,0.47712,0.47712
99,2010,1,0.47712,0.47712
100,vineyard,1,0.47712,0.47712
101,designates,1,0.47712,0.47712
102,strongly,1,0.17609,0.17609
103,herbal,1,0.17609,0.17609
104,leaf,1,0.47712,0.47712
105,herb,2,0.17609,0.35218
106,create,1,0.47712,0.47712
107,somewhat,1,0.47712,0.47712
108,unripe,1,0.47712,0.47712
109,impressions,1,0.47712,0.47712
110,touch,2,0.17609,0.35218
111,bitterness,2,0.47712,0.95424
112,on,5,0.17609,0.88046
113,finish,5,0,0
114,just,1,0.47712,0.47712
115,passes,1,0.47712,0.47712
116,ripeness,1,0.47712,0.47712
117,sweet,4,0.47712,1.9085
118,tomatoes,1,0.47712,0.47712
119,white,3,0.17609,0.52827
120,flower,1,0.47712,0.47712
121,lychee,1,0.47712,0.47712
122,apple,1,0,0
123,carry,1,0,0
124,mellow,1,0.47712,0.47712
125,bouquet,1,0.47712,0.47712
126,chunkyfeeling,1,0.47712,0.47712
127,palate,5,0,0
128,bears,1,0.47712,0.47712
129,powdery,1,0.47712,0.47712
130,peach,1,0.17609,0.17609
131,melon,1,0.47712,0.47712
132,mixed,1,0.47712,0.47712
133,greener,1,0.47712,0.47712
134,lime,1,0.17609,0.17609
135,80,1,0.47712,0.47712
136,viognier,1,0.47712,0.47712
137,component,1,0.47712,0.47712
138,typical,1,0.17609,0.17609
139,warm,1,0.47712,0.47712
140,climate,1,0.47712,0.47712
141,plump,2,0.47712,0.95424
142,oily,1,0.47712,0.47712
143,short,1,0.47712,0.47712
144,chardonnay,1,0.47712,0.47712
145,fills,1,0.47712,0.47712
146,out,2,0.17609,0.35218
147,concentrated,1,0.47712,0.47712
148,offers,2,0,0
149,cured,1,0.47712,0.47712
150,dried,1,0.17609,0.17609
151,rosemary,1,0.47712,0.47712
152,barbecue,1,0.47712,0.47712
153,spice,1,0.17609,0.17609
154,teriyaki,1,0.47712,0.47712
155,give,1,0.17609,0.17609
156,bold,1,0.47712,0.47712
157,chewy,1,0.47712,0.47712
158,feel,1,0.17609,0.17609
159,inky,1,0.47712,0.47712
160,color,1,0.47712,0.47712
161,blackberry,1,0,0
162,jam,1,0.47712,0.47712
163,rum,1,0.47712,0.47712
164,cake,1,0.47712,0.47712
165,soft,3,0.17609,0.52827
166,smooth,1,0.17609,0.17609
167,natural,1,0.47712,0.47712
168,movement,1,0.47712,0.47712
169,organic,1,0.47712,0.47712
170,grapes,1,0.47712,0.47712
171,label,1,0.47712,0.47712
172,printed,1,0.47712,0.47712
173,vegetable,1,0.47712,0.47712
174,ink,1,0.47712,0.47712
175,recycled,1,0.47712,0.47712
176,paper,1,0.47712,0.47712
177,very,1,0,0
178,nice,1,0.47712,0.47712
179,berry,4,0.17609,0.70437
180,catarratto,1,0.47712,0.47712
181,one,1,0.47712,0.47712
182,sicilys,1,0.47712,0.47712
183,most,1,0.47712,0.47712
184,widely,1,0.47712,0.47712
185,farmed,1,0.47712,0.47712
186,grape,1,0.47712,0.47712
187,varieties,1,0.47712,0.47712
188,expression,1,0.47712,0.47712
189,mineral,2,0.17609,0.35218
190,note,1,0.47712,0.47712
191,citrus,3,0,0
192,almond,1,0.47712,0.47712
193,blossom,1,0.17609,0.17609
194,stiff,1,0.47712,0.47712
195,tannic,1,0,0
196,slowly,1,0.47712,0.47712
197,opens,1,0,0
198,brings,1,0.47712,0.47712
199,brambly,1,0.47712,0.47712
200,into,1,0.17609,0.17609
201,play,1,0.47712,0.47712
202,along,1,0.47712,0.47712
203,earthy,1,0.17609,0.17609
204,herbs,1,0.17609,0.17609
205,theres,1,0.47712,0.47712
206,festive,1,0.47712,0.47712
207,plus,1,0.47712,0.47712
208,brisk,1,0.17609,0.17609
209,mouthfeel,1,0.47712,0.47712
210,gives,1,0.47712,0.47712
211,slightly,1,0,0
212,oaked,1,0.17609,0.17609
213,instant,1,0.47712,0.47712
214,likeability,1,0.47712,0.47712
215,its,1,0,0
216,rich,1,0.17609,0.17609
217,streak,1,0.47712,0.47712
218,sweetens,1,0.47712,0.47712
219,pear,1,0,0
220,asian,1,0.47712,0.47712
221,fare,1,0.47712,0.47712
222,ham,1,0.47712,0.47712
223,salad,1,0.47712,0.47712
224,grapefruit,2,0.47712,0.95424
225,sections,1,0.47712,0.47712
226,aroma,1,0.17609,0.17609
227,cola,1,0.47712,0.47712
228,tangy,1,0.47712,0.47712
229,racy,1,0.17609,0.17609
230,delivers,1,0.47712,0.47712
231,raspberry,1,0.17609,0.17609
232,plum,1,0,0
233,modest,1,0.47712,0.47712
234,right,1,0.47712,0.47712
235,starting,1,0.47712,0.47712
236,blocks,1,0.47712,0.47712
237,oaky,1,0.47712,0.47712
238,dripping,1,0.47712,0.47712
239,caramel,1,0.47712,0.47712
240,vanilla,2,0.17609,0.35218
241,texture,1,0,0
242,midpalate,1,0.47712,0.47712
243,finessed,1,0.47712,0.47712
244,graceful,1,0.47712,0.47712
245,drying,2,0.17609,0.35218
246,latch,1,0.47712,0.47712
247,onto,1,0.47712,0.47712
248,oakdriven,1,0.17609,0.17609
249,eccentric,1,0.47712,0.47712
250,50,1,0.47712,0.47712
251,tannat,1,0.47712,0.47712
252,35,1,0.47712,0.47712
253,petit,1,0.47712,0.47712
254,verdot,1,0.47712,0.47712
255,15,1,0.47712,0.47712
256,pinotage,1,0.47712,0.47712
257,spicy,1,0,0
258,fresh,1,0.17609,0.17609
259,fried,1,0.47712,0.47712
260,seafood,1,0.47712,0.47712
261,spaghetti,1,0.47712,0.47712
262,con,1,0.47712,0.47712
263,vongole,1,0.47712,0.47712
264,pretty,1,0.47712,0.47712
265,tones,1,0.47712,0.47712
266,followed,1,0.47712,0.47712
267,nuance,1,0.47712,0.47712
268,sugar,1,0.47712,0.47712
269,all,1,0.17609,0.17609
270,brightened,1,0.47712,0.47712
271,crisp,1,0,0
272,bottling,1,0.17609,0.17609
273,resembles,1,0.47712,0.47712
274,paradigm,1,0.47712,0.47712
275,bearing,1,0.47712,0.47712
276,passion,1,0.47712,0.47712
277,kiwi,1,0.47712,0.47712
278,sprinkling,1,0.47712,0.47712
279,graham,1,0.47712,0.47712
280,cracker,1,0.47712,0.47712
281,adds,1,0.47712,0.47712
282,interest,1,0.47712,0.47712
283,hits,1,0.47712,0.47712
284,like,1,0.17609,0.17609
285,fleshy,1,0.47712,0.47712
286,fist,1,0.47712,0.47712
287,intense,1,0.47712,0.47712
288,grassy,1,0.47712,0.47712
289,provides,1,0.47712,0.47712
290,plenty,1,0.47712,0.47712
291,punch,1,0.47712,0.47712
292,apricotglazed,1,0.47712,0.47712
293,roasted,1,0.17609,0.17609
294,chicken,1,0.47712,0.47712
295,fruity,1,0.17609,0.17609
296,generous,1,0.47712,0.47712
297,thats,1,0.17609,0.17609
298,full,1,0.17609,0.17609
299,redcherry,1,0.47712,0.47712
300,fruits,1,0,0
301,gentle,1,0.47712,0.47712
302,some,1,0.17609,0.17609
303,richness,1,0.47712,0.47712
304,readytodrink,1,0.47712,0.47712
